Name of Property,Property Type,Bedrooms,Bathrooms,Amenities,Price,Possession Date,Appreciation per year,Parking,Nearby,City,Location,Landmark,Launch Date,Builder Name,Furnishing status,Total Area,Total Towers,Total Floors,Sizes (sq.ft),Price per sq.ft,Balcony,Extra rooms,Super Area (sq.ft),Carpet Area (sq.ft),Age of Property,Facing,Loan Availability,Total Lifts,Pantry,View,Fitting type,Air conditioning,Clubhouse Amenities,Project Description
Crystal Heights,Penthouse,5BHK + Home Theatre,6,Infinity pool rooftop gym outdoor jacuzzi,6Cr-7Cr,Ready to move,20%,Indoor 3,Sector 17 Plaza Rock Garden Sukhna Lake,Chandigarh,Sector 85 Chandigarh,Opposite Sukhna Lake,25th Dec 2022,DLF Royal Estates,Fully furnished,8 acres,5,22,4700,9500,5.0,Home theatre study room,5100.0,4700,2 years,Lake view,Yes,4,No,Lake view,Jaquar luxury fittings Hitachi AC,Centralised AC,Private cinema billiards VIP lounge golf simulator,"Exclusive penthouses in Sector 85 Chandigarh with panoramic skyline views This Penthouse is designed to offer a luxurious and comfortable lifestyle with 5BHK + Home Theatre and 6 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Infinity pool rooftop gym outdoor jacuzzi, making it an excellent choice for families and investors alike. The property boasts a stunning Lake view and features high-quality Jaquar luxury fittings Hitachi AC for added elegance. With an expected appreciation of 20% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Indoor 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Private cinema billiards VIP lounge golf simulator. With a carpet area of 4700 sq. ft., this property is perfect for those seeking a premium lifestyle in Lake view facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
The Hive,Mall Showroom,,1,Premium parking 24x7 security food court,3Cr-3.5Cr,15th Oct 2025,11%,Open 4,Panchkula Golf Club Max Hospital Local Market,Panchkula,Sector 44 Panchkula,Near Golf Club,1st Jun 2023,Shobha Spaces,Semi furnished,5 acres,1,4,1600,9200,,,1700.0,1600,Under construction,West,Yes,2,No,City skyline view,Grohe fittings NA,,Indoor games rooftop cafe business hub,"Premium retail spaces in Sector 44 Panchkula designed for high-end brands This Mall Showroom is designed to offer a luxurious and comfortable lifestyle with nan and 1 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Premium parking 24x7 security food court, making it an excellent choice for families and investors alike. The property boasts a stunning City skyline view and features high-quality Grohe fittings NA for added elegance. With an expected appreciation of 11% per year, it is a great investment opportunity. The project is available for possession by 15th Oct 2025 and includes Open 4 parking spaces. Residents will also enjoy access to clubhouse facilities like Indoor games rooftop cafe business hub. With a carpet area of 1600 sq. ft., this property is perfect for those seeking a premium lifestyle in West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Emerald City,Apartment,3BHK + Study,4,Cycling track basketball court yoga zone,1Cr-1.5Cr,31st Mar 2026,13%,Open 2,Jubilee Junction CP67 Mall Max Hospital,Mohali,Sector 89 Mohali,Near CP67 Mall,15th May 2023,SBP Group,Semi furnished,7 acres,12,20,1850,6800,3.0,Study room servant room,2000.0,1850,Under construction,North,Yes,2,No,Park view,Hindware fittings Havells AC,Split AC,Reading room bowling alley creche for kids,"Modern apartments in Sector 89 Mohali with cutting-edge designs and sustainable architecture This Apartment is designed to offer a luxurious and comfortable lifestyle with 3BHK + Study and 4 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Cycling track basketball court yoga zone, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Hindware fittings Havells AC for added elegance. With an expected appreciation of 13% per year, it is a great investment opportunity. The project is available for possession by 31st Mar 2026 and includes Open 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Reading room bowling alley creche for kids. With a carpet area of 1850 sq. ft., this property is perfect for those seeking a premium lifestyle in North facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Verdant Enclave,Villa,6BHK + Servant rooms,7,Private gym spa party deck,7Cr-8Cr,1st Jan 2025,16%,Indoor 3,Chandigarh Golf Club Plaksha University IT Hub,Chandigarh,Sector 86 Chandigarh,Opposite IT Hub,10th Feb 2024,Grand Living,Fully furnished,18 acres,25,3,4900,8800,4.0,Home theatre meditation room,5200.0,4900,Under construction,South West,Yes,2,No,Forest view,Jaquar premium fittings LG AC,Centralised AC,Infinity pool ballroom private dining,"Luxury villas in Sector 86 Chandigarh with ample open spaces and premium facilities This Villa is designed to offer a luxurious and comfortable lifestyle with 6BHK + Servant rooms and 7 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Private gym spa party deck, making it an excellent choice for families and investors alike. The property boasts a stunning Forest view and features high-quality Jaquar premium fittings LG AC for added elegance. With an expected appreciation of 16% per year, it is a great investment opportunity. The project is available for possession by 1st Jan 2025 and includes Indoor 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Infinity pool ballroom private dining. With a carpet area of 4900 sq. ft., this property is perfect for those seeking a premium lifestyle in South West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Blue Horizon,Penthouse,4BHK + Library,5,Infinity pool rooftop garden fitness studio,5Cr-6Cr,Ready to move,19%,Indoor 2,Luxury IT Park Elante Mall Jubilee Park,Mohali,Sector 73 Mohali,Near Jubilee Park,10th Aug 2022,Eden Spaces,Fully furnished,10 acres,10,25,4600,9300,4.0,Library meditation room,5000.0,4600,1 year,East,Yes,3,No,City and park view,Kohler luxury fittings Daikin AC,Split AC,Art gallery VIP rooftop cafe library,"Luxurious penthouses in Sector 73 Mohali overlooking cityscapes and parks This Penthouse is designed to offer a luxurious and comfortable lifestyle with 4BHK + Library and 5 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Infinity pool rooftop garden fitness studio, making it an excellent choice for families and investors alike. The property boasts a stunning City and park view and features high-quality Kohler luxury fittings Daikin AC for added elegance. With an expected appreciation of 19% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Art gallery VIP rooftop cafe library. With a carpet area of 4600 sq. ft., this property is perfect for those seeking a premium lifestyle in East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
EcoNest,SOHO,,2,Rooftop terrace concierge food court,1Cr-1.3Cr,15th Nov 2026,12%,Indoor 2,District Court Panchkula IT Park Max Hospital,Panchkula,Sector 14 Panchkula,Near IT Park,1st Aug 2023,GreenSpaces,Raw,3 acres,6,10,1200,7500,,,1300.0,1200,Under construction,North East,Yes,2,Yes,Park view,Grohe fittings Daikin AC,,Rooftop cafe co-working spaces guest lounge,"Green-certified SOHO spaces in Sector 14 Panchkula designed for sustainable living This SOHO is designed to offer a luxurious and comfortable lifestyle with nan and 2 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Rooftop terrace concierge food court, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Grohe fittings Daikin AC for added elegance. With an expected appreciation of 12% per year, it is a great investment opportunity. The project is available for possession by 15th Nov 2026 and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Rooftop cafe co-working spaces guest lounge. With a carpet area of 1200 sq. ft., this property is perfect for those seeking a premium lifestyle in North East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Golden Retreat,Apartment,3BHK + Servant Room,4,Rooftop infinity pool amphitheater jogging trail,95L-1.1Cr,30th Sep 2025,14%,Indoor 2,Jubilee Junction Plaksha University International Airport,Mohali,Sector 65 Mohali,Next to Jubilee Junction,10th Apr 2023,Signature Heights,Semi furnished,10 acres,8,15,1750,5700,3.0,Servant room,2000.0,1750,Under construction,North West,Yes,2,No,City skyline view,Kohler fittings LG AC,Split AC,Billiards room indoor basketball court banquet hall,"Premium apartments in Sector 65 Mohali with modern architecture and high-end finishes This Apartment is designed to offer a luxurious and comfortable lifestyle with 3BHK + Servant Room and 4 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Rooftop infinity pool amphitheater jogging trail, making it an excellent choice for families and investors alike. The property boasts a stunning City skyline view and features high-quality Kohler fittings LG AC for added elegance. With an expected appreciation of 14% per year, it is a great investment opportunity. The project is available for possession by 30th Sep 2025 and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Billiards room indoor basketball court banquet hall. With a carpet area of 1750 sq. ft., this property is perfect for those seeking a premium lifestyle in North West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Silver Crest,Villa,5BHK + Home Theatre,5,Private pool personal gym mini-golf area,5Cr-6Cr,1st Dec 2024,17%,Indoor 3,Punjab Cricket Stadium Sector 17 Plaza Fortis Hospital,Chandigarh,Sector 74 Chandigarh,Near Punjab Cricket Stadium,25th Aug 2022,Tranquil Living,Fully furnished,15 acres,18,3,4200,8500,3.0,Home theatre study room,4700.0,4200,1 year,East,Yes,2,No,Forest view,Grohe fittings Daikin AC,Centralised AC,Indoor bowling lounge rooftop spa meeting room,"Luxurious villas in Sector 74 Chandigarh with private outdoor spaces and premium interiors This Villa is designed to offer a luxurious and comfortable lifestyle with 5BHK + Home Theatre and 5 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Private pool personal gym mini-golf area, making it an excellent choice for families and investors alike. The property boasts a stunning Forest view and features high-quality Grohe fittings Daikin AC for added elegance. With an expected appreciation of 17% per year, it is a great investment opportunity. The project is available for possession by 1st Dec 2024 and includes Indoor 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Indoor bowling lounge rooftop spa meeting room. With a carpet area of 4200 sq. ft., this property is perfect for those seeking a premium lifestyle in East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Cobalt Plaza,SOHO,,1,Co-working zone concierge business lounge,85L-95L,1st Feb 2026,12%,Indoor 1,Panchkula IT Park Max Hospital Panchkula Market,Panchkula,Sector 15 Panchkula,Near Panchkula IT Park,15th Mar 2024,Urban Workspaces,Raw,4 acres,6,8,1150,7000,,,1300.0,1150,Under construction,South East,Yes,3,Yes,Park view,Hindware fittings Bajaj AC,,Guest rooms co-working spaces rooftop cafe,"Flexible SOHO spaces in Sector 15 Panchkula for professionals and entrepreneurs This SOHO is designed to offer a luxurious and comfortable lifestyle with nan and 1 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Co-working zone concierge business lounge, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Hindware fittings Bajaj AC for added elegance. With an expected appreciation of 12% per year, it is a great investment opportunity. The project is available for possession by 1st Feb 2026 and includes Indoor 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Guest rooms co-working spaces rooftop cafe. With a carpet area of 1150 sq. ft., this property is perfect for those seeking a premium lifestyle in South East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Elysian Hills,Farmhouse,,4,Open-air theater orchard organic farming zone,6Cr-7Cr,31st Jan 2026,15%,Open 4,Mohali Hills DPS School HP Petrol Pump,Mohali,Sector 11 Mohali,Next to DPS Mohali,20th May 2023,Elysium Builders,Raw,20 acres,12,1,4800,6500,,Servant room meditation area,5200.0,4800,Under construction,South West,Yes,,No,Hill view,Kohler fittings NA,,Outdoor yoga deck farmhouse clubhouse herbal spa,"Spacious farmhouses in Sector 11 Mohali surrounded by greenery and nature-inspired designs This Farmhouse is designed to offer a luxurious and comfortable lifestyle with nan and 4 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Open-air theater orchard organic farming zone, making it an excellent choice for families and investors alike. The property boasts a stunning Hill view and features high-quality Kohler fittings NA for added elegance. With an expected appreciation of 15% per year, it is a great investment opportunity. The project is available for possession by 31st Jan 2026 and includes Open 4 parking spaces. Residents will also enjoy access to clubhouse facilities like Outdoor yoga deck farmhouse clubhouse herbal spa. With a carpet area of 4800 sq. ft., this property is perfect for those seeking a premium lifestyle in South West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Parkside Residences,Penthouse,4BHK + Study,4,Jacuzzi rooftop garden meditation deck,4Cr-5Cr,Ready to move,18%,Indoor 2,Sector 17 Bus Stand Sukhna Lake Elante Mall,Chandigarh,Sector 77 Chandigarh,Near Sukhna Lake,5th Jun 2021,Emaar Heights,Fully furnished,9 acres,5,20,4000,8800,4.0,Study room servant room,4500.0,4000,2 years,Lake view,Yes,3,No,Lake view,Jaquar fittings Hitachi AC,Split AC,Rooftop library wine cellar private cinema art gallery,"Exclusive penthouses in Sector 77 Chandigarh offering luxurious living with skyline views This Penthouse is designed to offer a luxurious and comfortable lifestyle with 4BHK + Study and 4 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Jacuzzi rooftop garden meditation deck, making it an excellent choice for families and investors alike. The property boasts a stunning Lake view and features high-quality Jaquar fittings Hitachi AC for added elegance. With an expected appreciation of 18% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Rooftop library wine cellar private cinema art gallery. With a carpet area of 4000 sq. ft., this property is perfect for those seeking a premium lifestyle in Lake view facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
The Opulent Hub,Mall Showroom,,1,24x7 security valet parking premium food court,2.5Cr-3Cr,1st Nov 2025,10%,Open 2,Jubilee Junction District Court Max Hospital,Mohali,Sector 50 Mohali,Next to Jubilee Junction,15th Jul 2023,DLF Commercial,Semi furnished,6 acres,1,5,1800,9500,,,1900.0,1800,Under construction,North East,Yes,2,No,City view,Hindware premium fittings LG AC,,Indoor gaming rooftop lounges event spaces,"Luxury commercial spaces in Sector 50 Mohali designed for high-end retail brands This Mall Showroom is designed to offer a luxurious and comfortable lifestyle with nan and 1 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as 24x7 security valet parking premium food court, making it an excellent choice for families and investors alike. The property boasts a stunning City view and features high-quality Hindware premium fittings LG AC for added elegance. With an expected appreciation of 10% per year, it is a great investment opportunity. The project is available for possession by 1st Nov 2025 and includes Open 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Indoor gaming rooftop lounges event spaces. With a carpet area of 1800 sq. ft., this property is perfect for those seeking a premium lifestyle in North East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Emerald Heights,Apartment,2.5BHK,3,Gym clubhouse basketball court jogging track,80L-95L,15th Jul 2026,12%,Open 1,Chandigarh University DPS School IT Hub,Mohali,Sector 81 Mohali,Next to Chandigarh University,25th Jan 2024,SBP Group,Semi furnished,8 acres,10,18,1400,6200,2.0,Servant room,1600.0,1400,Under construction,East,Yes,2,No,Park view,Kohler fittings Havells AC,Split AC,Indoor badminton yoga studio rooftop restaurant,"Mid-luxury apartments in Sector 81 Mohali with eco-friendly living spaces This Apartment is designed to offer a luxurious and comfortable lifestyle with 2.5BHK and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Gym clubhouse basketball court jogging track, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Kohler fittings Havells AC for added elegance. With an expected appreciation of 12% per year, it is a great investment opportunity. The project is available for possession by 15th Jul 2026 and includes Open 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Indoor badminton yoga studio rooftop restaurant. With a carpet area of 1400 sq. ft., this property is perfect for those seeking a premium lifestyle in East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Vista Grand,Villa,4BHK + Servant Room,5,Private garden personal gym rooftop BBQ,4Cr-5Cr,Ready to move,16%,Indoor 2,Chandigarh IT Park DPS Mohali Jubilee Mall,Chandigarh,Sector 90 Chandigarh,Next to Jubilee Mall,10th Aug 2022,Eden Living,Fully furnished,12 acres,25,2,3500,7500,3.0,Home theatre study room,4000.0,3500,1 year,West,Yes,2,No,City skyline view,Grohe luxury fittings Daikin AC,Centralised AC,Kids playroom clubhouse sports bar mini-theater,"Modern villas in Sector 90 Chandigarh offering contemporary designs and open spaces This Villa is designed to offer a luxurious and comfortable lifestyle with 4BHK + Servant Room and 5 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Private garden personal gym rooftop BBQ, making it an excellent choice for families and investors alike. The property boasts a stunning City skyline view and features high-quality Grohe luxury fittings Daikin AC for added elegance. With an expected appreciation of 16% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Kids playroom clubhouse sports bar mini-theater. With a carpet area of 3500 sq. ft., this property is perfect for those seeking a premium lifestyle in West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Azure SOHO,SOHO,,1,Concierge terrace cafe business lounge,95L-1.2Cr,1st Dec 2026,13%,Indoor 1,Panchkula IT Hub Golf Club Max Hospital,Panchkula,Sector 10 Panchkula,Near Golf Club,30th Sep 2023,BlueNest Workspaces,Raw,5 acres,5,10,1250,8000,,,1400.0,1250,Under construction,North,Yes,3,Yes,Park view,Hindware premium fittings Bajaj AC,,Co-working lounge rooftop garden meeting rooms,"Luxury SOHO spaces in Sector 10 Panchkula tailored for young entrepreneurs This SOHO is designed to offer a luxurious and comfortable lifestyle with nan and 1 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Concierge terrace cafe business lounge, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Hindware premium fittings Bajaj AC for added elegance. With an expected appreciation of 13% per year, it is a great investment opportunity. The project is available for possession by 1st Dec 2026 and includes Indoor 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Co-working lounge rooftop garden meeting rooms. With a carpet area of 1250 sq. ft., this property is perfect for those seeking a premium lifestyle in North facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Tranquil Valley,Farmhouse,,3,Nature trails private pond organic farming,7Cr-8Cr,1st Jan 2025,14%,Open 5,Mohali Cricket Stadium Chandigarh University DPS School,Mohali,Sector 13 Mohali,Next to Chandigarh University,15th Mar 2024,Serene Acres,Raw,25 acres,8,1,5000,7200,,Meditation room servant room,5500.0,5000,Under construction,South East,Yes,,No,Pond view,Kohler premium fittings NA,,Outdoor theater meditation garden eco-friendly clubhouse,"Exclusive farmhouses in Sector 13 Mohali with large plots and serene surroundings This Farmhouse is designed to offer a luxurious and comfortable lifestyle with nan and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Nature trails private pond organic farming, making it an excellent choice for families and investors alike. The property boasts a stunning Pond view and features high-quality Kohler premium fittings NA for added elegance. With an expected appreciation of 14% per year, it is a great investment opportunity. The project is available for possession by 1st Jan 2025 and includes Open 5 parking spaces. Residents will also enjoy access to clubhouse facilities like Outdoor theater meditation garden eco-friendly clubhouse. With a carpet area of 5000 sq. ft., this property is perfect for those seeking a premium lifestyle in South East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Skyline Penthouses,Penthouse,5BHK + Lounge,6,Infinity pool rooftop jogging track party deck,5Cr-6Cr,Ready to move,19%,Indoor 3,Elante Mall Sukhna Lake Rock Garden,Chandigarh,Sector 68 Chandigarh,Near Elante Mall,5th Aug 2022,Elysium Estates,Fully furnished,10 acres,4,25,4500,9200,4.0,Lounge study room,5000.0,4500,1 year,East,Yes,3,No,City and park view,Grohe fittings Hitachi AC,Centralised AC,Indoor sports bar guest suites rooftop restaurant,"High-end penthouses in Sector 68 Chandigarh with panoramic city views and premium finishes This Penthouse is designed to offer a luxurious and comfortable lifestyle with 5BHK + Lounge and 6 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Infinity pool rooftop jogging track party deck, making it an excellent choice for families and investors alike. The property boasts a stunning City and park view and features high-quality Grohe fittings Hitachi AC for added elegance. With an expected appreciation of 19% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Indoor 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Indoor sports bar guest suites rooftop restaurant. With a carpet area of 4500 sq. ft., this property is perfect for those seeking a premium lifestyle in East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Celestial Abode,Apartment,4BHK + Servant,5,Infinity pool sky yoga deck underground sports complex,1.5Cr-1.9Cr,15th Mar 2025,13%,Indoor 2,DLF Mall IT Hub Sector 62 Noida,Noida,Sector 75 Noida,Adjacent to DLF Mall,20th Jan 2023,Cosmic Developers,Semi furnished,12 acres,7,20,2100,7200,3.0,Study room,2400.0,2100,Under construction,South,Yes,3,No,City skyline view,Grohe & Jaguar fittings LG AC,Centralized,Indoor arcade swimming zones rooftop lounges spa,"Modern high-rise apartments with panoramic skyline views and energy-efficient designs This Apartment is designed to offer a luxurious and comfortable lifestyle with 4BHK + Servant and 5 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Infinity pool sky yoga deck underground sports complex, making it an excellent choice for families and investors alike. The property boasts a stunning City skyline view and features high-quality Grohe & Jaguar fittings LG AC for added elegance. With an expected appreciation of 13% per year, it is a great investment opportunity. The project is available for possession by 15th Mar 2025 and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Indoor arcade swimming zones rooftop lounges spa. With a carpet area of 2100 sq. ft., this property is perfect for those seeking a premium lifestyle in South facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Pinewood Villas,Villa,3BHK,4,Private backyard pet-friendly zones barbeque patio,3Cr-3.5Cr,1st Dec 2024,16%,Covered 2,Fortis Hospital International School Shopping Arcade,Mohali,Sector 49 Mohali,Near DPS School,1st Aug 2023,Eden Villas,Semi furnished,10 acres,20,3,3000,8600,2.0,Servant room,3400.0,3000,2 years,East,Yes,,No,Hill and garden view,Custom Italian kitchen Daikin AC,Split AC,Rooftop badminton court reading lounges outdoor BBQ area,"Luxury villas with personal garden spaces in tranquil surroundings This Villa is designed to offer a luxurious and comfortable lifestyle with 3BHK and 4 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Private backyard pet-friendly zones barbeque patio, making it an excellent choice for families and investors alike. The property boasts a stunning Hill and garden view and features high-quality Custom Italian kitchen Daikin AC for added elegance. With an expected appreciation of 16% per year, it is a great investment opportunity. The project is available for possession by 1st Dec 2024 and includes Covered 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Rooftop badminton court reading lounges outdoor BBQ area. With a carpet area of 3000 sq. ft., this property is perfect for those seeking a premium lifestyle in East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
The Sapphire,SOHO,,1,Business hub rooftop amphitheater conference zones,1.2Cr-1.5Cr,1st Jan 2027,4%, Covered 2,,Panchkula,sector 3,,,Near Golf Club,20th May 2023,Prime Realty,Raw,5 acres,5,10,1200.0,8800,,,1300,1200,Under construction,West,Yes,3,Yes,City and park view,Hindware Elite Fittings Panasonic AC,"Flexible SOHO spaces with modern meeting rooms collaborative lounges and advanced business facilities This SOHO is designed to offer a luxurious and comfortable lifestyle with nan and 1 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Business hub rooftop amphitheater conference zones, making it an excellent choice for families and investors alike. The property boasts a stunning 3 and features high-quality Yes for added elegance. With an expected appreciation of 4% per year, it is a great investment opportunity. The project is available for possession by 1st Jan 2027 and includes Covered 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Hindware Elite Fittings Panasonic AC. With a carpet area of nan sq. ft., this property is perfect for those seeking a premium lifestyle in 1200 facing direction. Additionally, it offers Under construction loan availability, making it easier to own your dream home."
Orchard Greens,Farmhouse,,4,Organic plantation walking trails butterfly garden,6.5Cr-7Cr,31st May 2025,15%,Open 3,Amity International University Central Park IT Hub,Gurgaon,Sector 93 Gurgaon,Next to Amity University,15th Sep 2024,GreenNest Developers,Raw,20 acres,6,2,5000,7300,,Servant room meditation room,5600.0,5000,Under construction,South West,Yes,,No,Fruit orchard & park view,European kitchen setups LG AC,,Sustainable clubhouse meditation gardens herbal spa,"Premium farmhouses designed for eco-conscious living with large green spaces and fruit orchards This Farmhouse is designed to offer a luxurious and comfortable lifestyle with nan and 4 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Organic plantation walking trails butterfly garden, making it an excellent choice for families and investors alike. The property boasts a stunning Fruit orchard & park view and features high-quality European kitchen setups LG AC for added elegance. With an expected appreciation of 15% per year, it is a great investment opportunity. The project is available for possession by 31st May 2025 and includes Open 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Sustainable clubhouse meditation gardens herbal spa. With a carpet area of 5000 sq. ft., this property is perfect for those seeking a premium lifestyle in South West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Crescent Heights,Penthouse,5BHK + Entertainment Lounge,6,Rooftop plunge pool smart home systems private elevators,4.5Cr-5.2Cr,Ready to move,19%,Indoor 3,Sukhna Lake Rock Garden Elante Mall,Chandigarh,Sector 66 Chandigarh,Adjacent to Sukhna Lake,10th Jun 2022,LuxeLiving Estates,Fully furnished,8 acres,5,22,4500,9400,4.0,Home theater,5000.0,4500,1 year,Lake and city view,Yes,3,No,Lake view,Kohler Luxury Daikin AC,Centralized,Rooftop cinema lounge helipad banquet hall,"Ultra-modern penthouses with luxurious interiors and private rooftop gardens This Penthouse is designed to offer a luxurious and comfortable lifestyle with 5BHK + Entertainment Lounge and 6 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Rooftop plunge pool smart home systems private elevators, making it an excellent choice for families and investors alike. The property boasts a stunning Lake view and features high-quality Kohler Luxury Daikin AC for added elegance. With an expected appreciation of 19% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Indoor 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Rooftop cinema lounge helipad banquet hall. With a carpet area of 4500 sq. ft., this property is perfect for those seeking a premium lifestyle in Lake and city view facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Golden Horizon,Villa,6BHK + Home Office,6,Private swimming pool triple-car garage wine cellar,6.8Cr-7.5Cr,1st Feb 2025,2%,,17%,Covered 3,IT Hub DPS International Rock Garden,Chandigarh,Sector 89 Chandigarh,Near DPS International,20th Oct 2023,Elegance Builders,Fully furnished,15 acres,12,2,5000.0,8900,4.0,Servant room office room,6000,5000,Under construction,East,Yes,,No,Pond & hill view,Custom wooden fittings Voltas AC,"Premium luxury villas with expansive living spaces state-of-the-art technology and custom interiors This Villa is designed to offer a luxurious and comfortable lifestyle with 6BHK + Home Office and 6 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Private swimming pool triple-car garage wine cellar, making it an excellent choice for families and investors alike. The property boasts a stunning nan and features high-quality No for added elegance. With an expected appreciation of 2% per year, it is a great investment opportunity. The project is available for possession by 1st Feb 2025 and includes nan parking spaces. Residents will also enjoy access to clubhouse facilities like Custom wooden fittings Voltas AC. With a carpet area of Servant room office room sq. ft., this property is perfect for those seeking a premium lifestyle in 5000 facing direction. Additionally, it offers Under construction loan availability, making it easier to own your dream home."
Amber Residences,Apartment,3.5BHK,3,Modular kitchen terrace gardens digital locks,1Cr-1.3Cr,1st Aug 2026,12%,Open 1,IT Park DPS School Jubilee Mall,Mohali,Sector 79 Mohali,Next to Jubilee Mall,10th Dec 2023,Amber Group,Semi furnished,7 acres,8,18,1600,6700,2.0,Study room,1900.0,1600,Under construction,North,Yes,2,No,Park view,Hindware essentials Carrier AC,Split AC,Outdoor amphitheater multi-purpose gym community cafe,"Mid-segment apartments with smart features and green living zones This Apartment is designed to offer a luxurious and comfortable lifestyle with 3.5BHK and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Modular kitchen terrace gardens digital locks, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Hindware essentials Carrier AC for added elegance. With an expected appreciation of 12% per year, it is a great investment opportunity. The project is available for possession by 1st Aug 2026 and includes Open 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Outdoor amphitheater multi-purpose gym community cafe. With a carpet area of 1600 sq. ft., this property is perfect for those seeking a premium lifestyle in North facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
